"bullet","land","x","value","id","raw_sig","se","sig"
"Bullet 1","Land 2",0,NA,1,NA,NA,NA
"Bullet 1","Land 2",0.645,NA,1,NA,NA,NA
"Bullet 1","Land 2",1.29,NA,1,NA,NA,NA
"Bullet 1","Land 2",1.935,NA,1,NA,NA,NA
"Bullet 1","Land 2",2.58,NA,1,NA,NA,NA
"Bullet 1","Land 2",3.225,NA,1,NA,NA,NA
"Bullet 1","Land 2",3.87,NA,1,NA,NA,NA
"Bullet 1","Land 2",4.515,NA,1,NA,NA,NA
"Bullet 1","Land 2",5.16,NA,1,NA,NA,NA
"Bullet 1","Land 2",5.805,NA,1,NA,NA,NA
"Bullet 1","Land 2",6.45,NA,1,NA,NA,NA
"Bullet 1","Land 2",7.095,NA,1,NA,NA,NA
"Bullet 1","Land 2",7.74,NA,1,NA,NA,NA
"Bullet 1","Land 2",8.385,NA,1,NA,NA,NA
"Bullet 1","Land 2",9.03,NA,1,NA,NA,NA
"Bullet 1","Land 2",9.675,NA,1,NA,NA,NA
"Bullet 1","Land 2",10.32,NA,1,NA,NA,NA
"Bullet 1","Land 2",10.965,NA,1,NA,NA,NA
"Bullet 1","Land 2",11.61,NA,1,NA,NA,NA
"Bullet 1","Land 2",12.255,NA,1,NA,NA,NA
"Bullet 1","Land 2",12.9,NA,1,NA,NA,NA
"Bullet 1","Land 2",13.545,NA,1,NA,NA,NA
"Bullet 1","Land 2",14.19,NA,1,NA,NA,NA
"Bullet 1","Land 2",14.835,NA,1,NA,NA,NA
"Bullet 1","Land 2",15.48,NA,1,NA,NA,NA
"Bullet 1","Land 2",16.125,NA,1,NA,NA,NA
"Bullet 1","Land 2",16.77,NA,1,NA,NA,NA
"Bullet 1","Land 2",17.415,NA,1,NA,NA,NA
"Bullet 1","Land 2",18.06,NA,1,NA,NA,NA
"Bullet 1","Land 2",18.705,NA,1,NA,NA,NA
"Bullet 1","Land 2",19.35,NA,1,NA,NA,NA
"Bullet 1","Land 2",19.995,NA,1,NA,NA,NA
"Bullet 1","Land 2",20.64,NA,1,NA,NA,NA
"Bullet 1","Land 2",21.285,NA,1,NA,NA,NA
"Bullet 1","Land 2",21.93,NA,1,NA,NA,NA
"Bullet 1","Land 2",22.575,NA,1,NA,NA,NA
